"Ritz Restaurant","Iain U","5","0000-00-00","60","33","29","1"
"Ritz Restaurant","Darius S","5","0000-00-00","2","0","4","2"
"Ritz Restaurant","Jonathan A","5","0000-00-00","4","3","3","3"
"Ritz Restaurant","Juliesamari","5","0000-00-00","39","23","14","4"
"Ritz Restaurant","Novajane","5","0000-00-00","6","6","3","5"
"Ritz Restaurant","Jeanettehaga","5","0000-00-00","3","0","1","6"
"Ritz Restaurant","Knut Marius S","5","0000-00-00","8","7","3","7"
"Ritz Restaurant","malcjones","5","0000-00-00","12","4","25","8"
"Ritz Restaurant","Dai S","5","0000-00-00","39","21","15","9"
"Ritz Restaurant","Unni S","5","0000-00-00","2","0","3","10"
"Ritz Restaurant","Corniglia123","5","0000-00-00","2","0","2","11"
"Ritz Restaurant","Jakub P","5","0000-00-00","7","7","15","12"
"Ritz Restaurant","Tori K","5","0000-00-00","67","51","46","13"
"Ritz Restaurant","j0annaa2015","5","0000-00-00","1","0","8","14"
"Ritz Restaurant","Margo K","5","0000-00-00","14","13","8","15"
"Ritz Restaurant","conejito0869","5","0000-00-00","3","0","14","16"
"Ritz Restaurant","Taylordiva","5","0000-00-00","12","8","7","17"
"Ritz Restaurant","Carsten P","5","0000-00-00","3","0","5","18"
"Ritz Restaurant","Bart K","5","0000-00-00","6","4","21","19"
"Ritz Restaurant","AgataStar","5","0000-00-00","116","80","56","20"
"Ritz Restaurant","Eirik N","5","0000-00-00","5","4","3","21"
"Ritz Restaurant","Ollstar","5","0000-00-00","5","4","3","22"
"Ritz Restaurant","albanissima","5","0000-00-00","2","0","10","23"
"Ritz Restaurant","2408al","5","0000-00-00","4","4","7","24"
"Ritz Restaurant","VG73","5","0000-00-00","12","6","14","25"
"Ritz Restaurant","Maurice w","3","0000-00-00","4","4","3","26"
"Ritz Restaurant","Jane W","5","0000-00-00","3","3","4","27"
"Ritz Restaurant","Heggvin","4","0000-00-00","83","30","30","28"
"Ritz Restaurant","TimKJ","5","0000-00-00","31","20","6","29"
"Ritz Restaurant","Ynte","5","0000-00-00","6","4","1","30"
"Ritz Restaurant","John Q","5","0000-00-00","1","0","1","31"
"Ritz Restaurant","Artur M","5","0000-00-00","1","0","1","32"
"Ritz Restaurant","gregroberts2014","5","0000-00-00","3","3","6","33"
"Ritz Restaurant","Lila O","5","0000-00-00","7","5","2","34"
"Ritz Restaurant","Aleksandra S","5","0000-00-00","1","0","2","35"
"Ritz Restaurant","Hans-Are","5","0000-00-00","11","8","4","36"
"Ritz Restaurant","Ron v","4","0000-00-00","68","47","15","37"
"Ritz Restaurant","Micha M","5","0000-00-00","1","0","2","38"
"Ritz Restaurant","jtowies","5","0000-00-00","56","31","71","39"
"Ritz Restaurant","LadyItameri","4","0000-00-00","4","3","0","40"
"Ritz Restaurant","Sophie B","5","0000-00-00","1","0","2","41"
"Ritz Restaurant","Ewa W","5","0000-00-00","10","8","5","42"
"Ritz Restaurant","Divert2015","3","0000-00-00","7","7","3","43"
"Ritz Restaurant","Mikethebike476","5","0000-00-00","4","4","6","44"
"Ritz Restaurant","Przemek W","5","0000-00-00","3","0","2","45"
"Ritz Restaurant","laineyling","4","0000-00-00","13","3","11","46"
"Ritz Restaurant","Britt-Marie S","5","0000-00-00","7","5","0","47"
"Ritz Restaurant","kruuza","5","0000-00-00","170","98","78","48"
"Ritz Restaurant","Kamalkalsi","5","0000-00-00","1","0","4","49"
"Ritz Restaurant","Eirin T","5","0000-00-00","1","0","1","50"
"Ritz Restaurant","AWFriz","5","0000-00-00","1","0","0","51"
"Ritz Restaurant","conrad14","2","0000-00-00","37","18","46","52"
"Ritz Restaurant","JJdub1","4","0000-00-00","8","5","8","53"
"Ritz Restaurant","AnjaFJ","4","0000-00-00","54","42","45","54"
"Ritz Restaurant","JacekBJ","4","0000-00-00","437","253","364","55"
"Ritz Restaurant","laputaLondon","5","0000-00-00","7","0","7","56"
"Ritz Restaurant","Andrzej I","1","0000-00-00","9","3","21","57"
"Ritz Restaurant","write2miriam","5","0000-00-00","3","0","2","58"
"Ritz Restaurant","Maria H","5","0000-00-00","3","0","21","59"
"Ritz Restaurant","Camilla J","4","0000-00-00","8","4","0","60"
"Ritz Restaurant","Agnieszka...","5","0000-00-00","1","0","2","61"
"Ritz Restaurant","Tottolott...","5","0000-00-00","12","6","6","62"
